#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Apr 13 19:00:50 EDT 2019,47,47,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelNodeTest1+ NumNodeTest0+ , ,AddEdgeTest4- DelEdgeTest0- DelEdgeTest1- DelEdgeTest2- DelNodeTest0- DelNodeTest2- EfficiencyTest1- NumEdgeTest0- NumEdgeTest1- NumNodeTest1- , ,
1,Sat Apr 13 19:26:54 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
2,Sat Apr 13 20:27:20 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
3,Sat Apr 13 20:43:44 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
4,Sat Apr 13 20:44:47 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
5,Sat Apr 13 20:45:42 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
6,Sat Apr 13 20:59:26 EDT 2019,31,-16,Assignment5Suite,AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 , ,AddEdgeTest0- AddEdgeTest1- AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest0- NumNodeTest1 , ,
7,Sat Apr 13 21:04:55 EDT 2019,47,16,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0+ , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
8,Sat Apr 13 21:09:45 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
9,Sat Apr 13 21:18:56 EDT 2019,47,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 NumNodeTest0 , ,AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 , ,
10,Sat Apr 13 21:21:45 EDT 2019,31,-16,Assignment5Suite,AddEdgeTest2 AddEdgeTest3 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelNodeTest1 , ,AddEdgeTest0- AddEdgeTest1- AddEdgeTest4 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest0- NumNodeTest1 , ,
11,Sat Apr 13 21:40:02 EDT 2019,73,42,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2 AddEdgeTest3 AddEdgeTest4+ AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0+ DelNodeTest0+ DelNodeTest1 DelNodeTest2+ NumNodeTest0+ NumNodeTest1+ , ,DelEdgeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 , ,
12,Sat Apr 13 21:45:10 EDT 2019,73,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumNodeTest0 NumNodeTest1 , ,DelEdgeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 , ,
13,Sat Apr 13 21:48:21 EDT 2019,73,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumNodeTest0 NumNodeTest1 , ,DelEdgeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 , ,
14,Sat Apr 13 22:06:23 EDT 2019,84,11,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0 NumNodeTest1 , ,DelEdgeTest1 DelEdgeTest2 EfficiencyTest1 , ,
15,Sat Apr 13 22:09:41 EDT 2019,84,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,DelEdgeTest1 DelEdgeTest2 EfficiencyTest1 , ,
16,Sat Apr 13 22:16:48 EDT 2019,94,10,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1+ DelEdgeTest2+ DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,EfficiencyTest1 , ,
17,Sat Apr 20 11:11:25 EDT 2019,0,-257,Assignment5Suite, , ,EfficiencyTest1 ShortestPathTest0- ShortestPathTest1- ShortestPathTest2- ShortestPathTest3- ShortestPathTest4- ShortestPathTest5- , ,
18,Sat Apr 20 12:40:09 EDT 2019,0,0,Assignment5Suite, , ,EfficiencyTest1 ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
19,Sat Apr 20 12:45:37 EDT 2019,0,0,Assignment5Suite, , ,EfficiencyTest1 ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
20,Sat Apr 20 13:23:10 EDT 2019,71,71,Assignment5Suite,ShortestPathTest0+ ShortestPathTest1+ ShortestPathTest2+ ShortestPathTest3+ ShortestPathTest5+ , ,EfficiencyTest1 ShortestPathTest4 , ,
21,Sat Apr 20 13:34:02 EDT 2019,85,14,Assignment5Suite,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4+ ShortestPathTest5 , ,EfficiencyTest1 , ,
22,Sat Apr 20 13:35:41 EDT 2019,85,0,Assignment5Suite,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,EfficiencyTest1 , ,
